,coef,se,z,p,pretty
const,-7.404531996023355,0.039845270330901274,-185.8321435525788,0.0,const
pct_male,0.030484198977141278,0.04164796658031119,0.7319492758033591,0.4641995284613384,% Male
pct_age_25_44,0.09317029002839175,0.04811833601269075,1.936274147215294,0.05283413339466721,% Age 25–44
median_age,0.06690064064772881,0.0561607764856721,1.1912342534081004,0.23356163606099933,Median Age
pct_nh_black,0.0022171154804776216,0.05550161946805112,0.03994686104166526,0.968135491188336,% Nh Black
per_capita_income,0.03031502312324491,0.07081673354141557,0.42807711690791067,0.6685949762269797,Per Capita Income
poverty_rate_child_u18,0.07977187062163149,0.045553997711413344,1.7511497262433462,0.07992012262518212,Poverty Rate Child U18
gini_index,-0.06314381894680357,0.05935229988068667,-1.063881586286274,0.28738234561203335,Gini Index
lfp_rate_16p,-0.08805917757791337,0.04959022903979715,-1.7757364562128584,0.07577636555339241,Labor force participation (16+)
edu_hs_grad_25p,-0.05456102782506711,0.0537390800585225,-1.0152951588611026,0.309965151407385,Edu Hs Grad 25P
hh_single_person_share,0.08875118064961089,0.048695502170426314,1.8225745026511122,0.06836786029256371,Hh Single Person Share
housing_occupied_share,-0.1233644684792436,0.055382078307829034,-2.2275160530009273,0.025912804148409973,Housing Occupied Share
overcrowding_rate_gt1pproom,-0.0050006182935489465,0.036809773843986815,-0.13585028570790417,0.8919396372665949,Overcrowding (>1 p/room)
rent_burdened_gt50,-0.03923317995822248,0.04207576510150971,-0.9324412726321348,0.35110852354901045,Rent burdened (>50%)
residential_stability_same_house_1yr,0.0644328731226819,0.04800316664174014,1.3422629720151764,0.1795107448317128,Same house 1+ yr
foreign_born_share,-0.08121558144493668,0.06607843510591838,-1.2290784628109712,0.21904238925579156,Foreign Born Share
veteran_share_18p,0.05739403376590774,0.06558101381032365,0.8751623439659737,0.381485579004205,Veteran share (18+)
