variable,type,n,non_missing,prevalence_yes,prevalence_yes_pct,top_value,top_value_pct,num_unique_non_missing
month,binary_flag,1200,109,1.0,100.0,,,
quarter,binary_flag,1200,301,1.0,100.0,,,
DeathMannerAbstractor,binary_flag,1200,1200,1.0,100.0,,,
deathindicator,binary_flag,1200,1200,1.0,100.0,,,
firearmdeath,binary_flag,1200,306,1.0,100.0,,,
WeaponType1,binary_flag,1200,306,1.0,100.0,,,
marital,binary_flag,1200,377,1.0,100.0,,,
InjuryLocationType,binary_flag,1200,890,1.0,100.0,,,
ResidenceCensusBlock,binary_flag,1200,385,1.0,100.0,,,
CensusBlock,binary_flag,1200,374,1.0,100.0,,,
CarbonMonoxideTested,binary_flag,1200,56,1.0,100.0,,,
CarbonMonoxideResult,binary_flag,1200,45,1.0,100.0,,,
MarijuanaTested,binary_flag,1200,1163,1.0,100.0,,,
CocaineResult,binary_flag,1200,86,1.0,100.0,,,
CocaineTested,binary_flag,1200,1159,1.0,100.0,,,
NumberSubstances_c,binary_flag,1200,240,1.0,100.0,,,
subclass_cod_allother,binary_flag,1200,106,1.0,100.0,,,
OtherDrugsResult,binary_flag,1200,122,1.0,100.0,,,
OtherDrugsTested,binary_flag,1200,122,1.0,100.0,,,
MarijuanaResult,binary_flag,1200,249,1.0,100.0,,,
AntiDepressantResult,binary_flag,1200,309,1.0,100.0,,,
AnticonvulsantsTested,binary_flag,1200,1148,1.0,100.0,,,
AnticonvulsantsResult,binary_flag,1200,82,1.0,100.0,,,
AntipsychoticTested,binary_flag,1200,1149,1.0,100.0,,,
AntipsychoticResult,binary_flag,1200,81,1.0,100.0,,,
BarbituratesTested,binary_flag,1200,1159,1.0,100.0,,,
BarbituratesResult,binary_flag,1200,13,1.0,100.0,,,
BenzodiazepinesTested,binary_flag,1200,1162,1.0,100.0,,,
BenzodiazepinesResult,binary_flag,1200,219,1.0,100.0,,,
MuscleRelaxantTested,binary_flag,1200,1147,1.0,100.0,,,
MuscleRelaxantResult,binary_flag,1200,34,1.0,100.0,,,
AmphetamineResult,binary_flag,1200,51,1.0,100.0,,,
AmphetamineTested,binary_flag,1200,1159,1.0,100.0,,,
AlcoholResult,binary_flag,1200,389,1.0,100.0,,,
AlcoholTested,binary_flag,1200,1159,1.0,100.0,,,
AntiDepressantTested,binary_flag,1200,1150,1.0,100.0,,,
Autism_c,binary_flag,1200,1,1.0,100.0,,,
Dementia_c,binary_flag,1200,2,1.0,100.0,,,
Other_c,binary_flag,1200,57,1.0,100.0,,,
Unknown_c,binary_flag,1200,33,1.0,100.0,,,
depanx_c,binary_flag,1200,234,1.0,100.0,,,
numberdiag_c,binary_flag,1200,254,1.0,100.0,,,
OpioidTested,binary_flag,1200,1161,1.0,100.0,,,
OpioidResult,binary_flag,1200,198,1.0,100.0,,,
Depression_c,binary_flag,1200,546,1.0,100.0,,,
Bipolar_c,binary_flag,1200,121,1.0,100.0,,,
Schizo_c,binary_flag,1200,52,1.0,100.0,,,
Anxiety_c,binary_flag,1200,300,1.0,100.0,,,
PTSD_c,binary_flag,1200,56,1.0,100.0,,,
ADHD_c,binary_flag,1200,48,1.0,100.0,,,
Eating_c,binary_flag,1200,2,1.0,100.0,,,
OCD_c,binary_flag,1200,6,1.0,100.0,,,
CircumstancesKnown_c,binary_flag,1200,1200,0.9683333333333334,96.83333333333334,,,
SexualOrientation,binary_flag,1200,17,0.6470588235294118,64.70588235294117,,,
MentalHealthProblem_c,binary_flag,1200,1200,0.6166666666666667,61.66666666666667,,,
HistoryMentalIllnessTreatmnt_c,binary_flag,1200,1200,0.5908333333333333,59.08333333333333,,,
dap,binary_flag,1200,1200,0.5508333333333333,55.08333333333333,,,
MentalIllnessTreatmentCurrnt_c,binary_flag,1200,1200,0.5166666666666667,51.66666666666667,,,
SuicideNote_c,binary_flag,1200,1200,0.33166666666666667,33.166666666666664,,,
DepressedMood_c,binary_flag,1200,1200,0.2791666666666667,27.916666666666668,,,
AnyCrisis_c,binary_flag,1200,1200,0.25,25.0,,,
SuicideThoughtHistory_c,binary_flag,1200,1200,0.2425,24.25,,,
IntimatePartnerProblem_c,binary_flag,1200,1200,0.235,23.5,,,
SuicideAttemptHistory_c,binary_flag,1200,1200,0.22166666666666668,22.166666666666668,,,
AlcoholProblem_c,binary_flag,1200,1200,0.21,21.0,,,
SuicideIntentDisclosed_c,binary_flag,1200,1200,0.16916666666666666,16.916666666666664,,,
SubstanceAbuseOther_c,binary_flag,1200,1200,0.1625,16.25,,,
AlcoholUseSuspected,binary_flag,1200,1163,0.15133276010318142,15.133276010318141,,,
PhysicalHealthProblem_c,binary_flag,1200,1200,0.15083333333333335,15.083333333333334,,,
Military,binary_flag,1200,1179,0.13061916878710772,13.061916878710772,,,
Argument_c,binary_flag,1200,1200,0.12333333333333334,12.333333333333334,,,
JobProblem_c,binary_flag,1200,1200,0.09583333333333334,9.583333333333334,,,
subclass_cod_antid,binary_flag,1200,1200,0.085,8.5,,,
FinancialProblem_c,binary_flag,1200,1200,0.07666666666666666,7.666666666666666,,,
DeathFriendOrFamilyOther_c,binary_flag,1200,1200,0.06333333333333334,6.333333333333334,,,
subclass_cod_benzo,binary_flag,1200,1200,0.06,6.0,,,
subclass_cod_op,binary_flag,1200,1200,0.059166666666666666,5.916666666666667,,,
RecentCriminalLegalProblem_c,binary_flag,1200,1200,0.05,5.0,,,
EvictionOrLossOfHome_c,binary_flag,1200,1200,0.043333333333333335,4.333333333333334,,,
subclass_cod_alc,binary_flag,1200,1200,0.035833333333333335,3.5833333333333335,,,
subclass_cod_co,binary_flag,1200,1200,0.029166666666666667,2.9166666666666665,,,
LegalProblemOther_c,binary_flag,1200,1200,0.028333333333333332,2.833333333333333,,,
subclass_cod_antip,binary_flag,1200,1200,0.025833333333333333,2.5833333333333335,,,
PrecipitatedbyOtherCrime_c,binary_flag,1200,1200,0.025,2.5,,,
RelationshipProblemOther_c,binary_flag,1200,1200,0.020833333333333332,2.083333333333333,,,
NoToxicologyAvailable,binary_flag,1200,1200,0.018333333333333333,1.8333333333333333,,,
Homeless,binary_flag,1200,1190,0.01764705882352941,1.7647058823529411,,,
VictimInCustody,binary_flag,1200,1195,0.017573221757322177,1.7573221757322177,,,
Pregnant,binary_flag,1200,114,0.017543859649122806,1.7543859649122806,,,
subclass_cod_antic,binary_flag,1200,1200,0.015,1.5,,,
SchoolProblem_c,binary_flag,1200,1200,0.014166666666666666,1.4166666666666665,,,
subclass_cod_coc,binary_flag,1200,1200,0.013333333333333334,1.3333333333333335,,,
HomicideSuicide_c,binary_flag,1200,1200,0.0125,1.25,,,
RecentRelease,binary_flag,1200,1106,0.0108499095840868,1.0849909584086799,,,
TraumaticAnniversary_c,binary_flag,1200,1200,0.008333333333333333,0.8333333333333334,,,
RecentSuicideFriendFamily_c,binary_flag,1200,1200,0.008333333333333333,0.8333333333333334,,,
TraumaticBrainInjuryHistory_c,binary_flag,1200,1200,0.0075,0.75,,,
subclass_cod_amp,binary_flag,1200,1200,0.0075,0.75,,,
subclass_cod_barb,binary_flag,1200,1200,0.005833333333333334,0.5833333333333334,,,
OtherAddiction_c,binary_flag,1200,1200,0.005833333333333334,0.5833333333333334,,,
OtherCrimeInProgress_c,binary_flag,1200,1200,0.005,0.5,,,
Prostitution_c,binary_flag,1200,1200,0.0016666666666666668,0.16666666666666669,,,
subclass_cod_mj,binary_flag,1200,1200,0.0016666666666666668,0.16666666666666669,,,
Stalking_c,binary_flag,1200,1200,0.0008333333333333334,0.08333333333333334,,,
Brawl_c,binary_flag,1200,1200,0.0,0.0,,,
RandomViolence_c,binary_flag,1200,1200,0.0,0.0,,,
Jealousy_c,binary_flag,1200,1200,0.0,0.0,,,
Bystander_c,binary_flag,1200,1200,0.0,0.0,,,
GangRelated_c,binary_flag,1200,1200,0.0,0.0,,,
DrugInvolvement_c,binary_flag,1200,1200,0.0,0.0,,,
IntimatePartnerViolence_c,binary_flag,1200,1200,0.0,0.0,,,
BloodAlcoholContent_c,binary_flag,1200,768,0.0,0.0,,,
WalkByAssault_c,binary_flag,1200,1200,0.0,0.0,,,
HateCrime_c,binary_flag,1200,1200,0.0,0.0,,,
DriveByShooting_c,binary_flag,1200,1200,0.0,0.0,,,
TargetShooting_c,binary_flag,1200,1200,0.0,0.0,,,
