GEOID,suicide_count
44001030100,1
44001030200,4
44001030300,1
44001030500,3
44001030601,2
44001030602,2
44001030700,4
44001030800,3
44001030901,3
44001030902,1
44003020101,3
44003020102,6
44003020200,4
44003020300,2
44003020400,2
44003020500,1
44003020601,6
44003020602,5
44003020603,5
44003020701,4
44003020702,1
44003020703,2
44003020800,5
44003020901,2
44003020903,5
44003021001,1
44003021002,1
44003021100,5
44003021200,1
44003021300,4
44003021401,1
44003021402,2
44003021502,3
44003021600,1
44003021700,3
44003021800,3
44003021901,1
44003021902,3
44003022000,1
44003022100,4
44003022201,2
44003022300,4
44003022400,1
44003999999,1
44005040101,3
44005040102,3
44005040103,5
44005040104,1
44005040304,1
44005040400,4
44005040500,2
44005040600,2
44005040700,2
44005040800,3
44005040900,2
44005041000,2
44005041100,4
44005041300,12
44005041400,3
44005041601,2
44005041602,4
44005041702,1
44007000101,3
44007000102,1
44007000300,1
44007000302,2
44007000400,3
44007000500,1
44007000600,2
44007000700,1
44007000800,7
44007000900,2
44007001000,1
44007001100,1
44007001200,2
44007001300,5
44007001400,3
44007001700,2
44007001800,1
44007001900,5
44007002000,1
44007002101,2
44007002200,2
44007002300,1
44007002500,2
44007002600,2
44007002700,3
44007002801,3
44007002900,6
44007003100,2
44007003300,4
44007003500,6
44007003601,1
44007003700,3
44007010200,3
44007010300,1
44007010400,2
44007010501,3
44007010502,1
44007010600,2
44007010701,1
44007010702,1
44007010800,2
44007010900,3
44007011000,2
44007011100,2
44007011200,2
44007011301,3
44007011302,1
44007011402,3
44007011403,4
44007011404,1
44007011500,7
44007011600,5
44007011701,5
44007011800,2
44007011902,3
44007012000,2
44007012102,1
44007012104,4
44007012200,6
44007012300,2
44007012401,7
44007012500,2
44007012601,2
44007012602,4
44007012701,1
44007012702,5
44007012801,5
44007012803,6
44007012900,4
44007013001,1
44007013002,2
44007013101,5
44007013102,7
44007013201,4
44007013202,1
44007013300,5
44007013400,1
44007013500,4
44007013600,2
44007013701,4
44007013702,3
44007013800,1
44007013900,2
44007014000,1
44007014100,2
44007014200,10
44007014300,2
44007014400,2
44007014501,2
44007014502,1
44007014600,1
44007014700,4
44007014800,2
44007015000,1
44007015100,1
44007015200,1
44007015300,2
44007015500,2
44007015800,2
44007015900,1
44007016000,4
44007016100,6
44007016300,1
44007016400,1
44007016500,2
44007016600,1
44007016700,2
44007016800,3
44007016900,1
44007017000,3
44007017100,3
44007017300,2
44007017400,2
44007017500,5
44007017600,2
44007017700,2
44007017900,1
44007018000,1
44007018100,4
44007018200,1
44007018400,4
44007018500,2
44007041500,1
44007999999,1
44009002600,1
44009015302,1
44009018200,1
44009041500,4
44009050102,1
44009050103,5
44009050104,3
44009050301,2
44009050302,2
44009050401,2
44009050402,2
44009050500,8
44009050600,6
44009050700,1
44009050701,4
44009050702,1
44009050801,4
44009050901,6
44009050902,6
44009051000,2
44009051101,4
44009051102,3
44009051201,1
44009051202,1
44009051302,4
44009051304,1
44009051305,3
44009051306,2
44009051502,2
44009051503,4
44009051504,3
